Row,Address,City,ZIP,Current Name,Units,Year Built,Corrected Name,Source URL,Confidence
149,10770 ANDERS BLVD,Jacksonville,32246,Jacksonville Housing Authority Apartments,16,1977,Anders Park,https://www.apartments.com/anders-park-jacksonville-fl/82y2nf0/,
150,1700 S SAN PABLO RD,Jacksonville,32224,Jacksonville Kendall Apartments,16,1997,Banyan Bay,https://www.apartments.com/banyan-bay-jacksonville-fl/6edkl9t/,
151,10010 SKINNER LAKE DR,Jacksonville,32246,Knickerbocker Properties Inc Xx Apartments,16,1996,The Colony at Deerwood,https://www.colonyatdeerwood.com/,
152,11011 HARTS RD,Jacksonville,32218,Mm Winn Apartments,16,1988,The Ansley,https://www.livetheansley.com/,
153,3333 MONUMENT RD,Jacksonville,32225,Monument Rd Apartments,16,1986,Portofino Club,https://www.apartments.com/portofino-club-jacksonville-fl/2v7wz3c/,
154,3355 CLAIRE LN,Jacksonville,32216,Oconee Real Estate Holdings X Oasis Apartments,16,1986,Oasis of Mandarin,https://www.liveoasismandarin.com/,
155,13050 W GRAN BAY PKWY,Jacksonville,32258,Palm Bay Club Rental Community Two,16,2017,Palm Bay Club,https://www.palmbayclubjax.com/,
156,4500 BAYMEADOWS RD,Jacksonville,32217,Bay Pointe,15,1974,Park at Avellino,https://www.apartments.com/park-at-avellino-jacksonville-fl/zc6tk2w/,
157,11110 ATLANTIC BLVD,Jacksonville,32225,Benchmark Cypress Cove Assoc Limited,15,1987,Cypress Cove,https://www.cypresscoveapartments.com/,
158,5900 TOWNSEND RD,Jacksonville,32244,Creekside at Duval,15,1999,Creekside Park,https://www.creeksideparkapartments.com/,
159,9105 TREDINICK PKWY,Jacksonville,32211,Eden Living Apartments,15,2024,Eden at Kendall West,https://www.edenatkendallapartments.com/,
160,5885 EDENFIELD RD,Jacksonville,32277,Emres Apartments,15,1975,Edenfield Shores,https://www.apartments.com/edenfield-shores-jacksonville-fl/,
161,10535 LEM TURNER RD,Jacksonville,32218,Kendall Court,15,1999,The Place at Capper Landing,https://www.theplaceatcapperlanding.com/,
162,233 SAHARA CT,Jacksonville,32216,Lrc Desert Silver Apartments,15,1972,Desert Winds Apartments,https://www.apartments.com/desert-winds-apartments-jacksonville-fl/,
163,300 SILVER CREEK TRCE,Jacksonville,32216,Lrc Desert Silver Apartments,15,1972,Silver Creek Apartments,https://www.apartments.com/silver-creek-apartments-jacksonville-fl/,
164,10100 BAYMEADOWS RD,Jacksonville,32256,Mid America Apartments,15,1987,MAA Deerwood,https://www.maac.com/florida/jacksonville/maa-deerwood/,
165,1700 MINDANAO DR,Jacksonville,32246,Mindanao Dr Apartments,15,1989,Willow Trail,https://www.apartments.com/willow-trail-jacksonville-fl/,
166,10415 MONACO DR,Jacksonville,32218,Monaco Arms Preservation Apartments,15,1972,Monaco Arms,https://www.apartments.com/monaco-arms-jacksonville-fl/,
167,8649 A C SKINNER PKWY,Jacksonville,32256,Prg Loree Apartments,15,2016,The Loree,https://www.theloreejax.com/,
168,8030 S OLD KINGS RD,Jacksonville,32217,Ravenwood Apartments,15,1971,Canyon Square,https://www.canyonsquarejax.com/,
169,6945 MORSE AVE,Jacksonville,32244,Savannah Springs Apartments,15,2008,Savannah Springs Apartments,https://www.savannahspringsjax.com/,
170,1701 S SAN PABLO RD,Jacksonville,32224,Seagrass Apartment Homes,15,2013,Seagrass Apartment Homes,https://www.seagrassapartmenthomes.com/,
171,8745 PALM BREEZE RD,Jacksonville,32256,Southside Blvd Borrower Apartments,15,1990,Southside Villas,https://www.southsidevillasjax.com/,
172,5620 COLLINS RD,Jacksonville,32244,Sreit Courtney Manor,15,1999,Courtney Manor Apartments,https://www.courtneymanor.com/,
173,5710 LENOX AVE,Jacksonville,32205,Sreit Madelyn Oaks,15,2002,Madelyn Oaks Apartments,https://www.madelynoaksapartments.com/,
174,12310 SEACREST LN,Jacksonville,32224,Vinoy at St. Johns,15,2007,Vinoy at St. Johns,https://www.vinoyatstjohns.com/,
